run_id,model_type,method,repetition,seed,asset_index,asset,group,current_weight,optimized_weight,weight_change,integer_lots,asset_lower,asset_upper
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,36,Asset_036,Group_3,0.004,8.2132697330749e-17,-0.003999999999999918,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,37,Asset_037,Group_1,0.004,3.405390282021547e-17,-0.003999999999999966,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,38,Asset_038,Group_5,0.004,-2.364437011511434e-17,-0.0040000000000000235,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,39,Asset_039,Group_7,0.004,-5.736759327703795e-17,-0.004000000000000057,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,40,Asset_040,Group_1,0.004,-1.3256131046375438e-17,-0.004000000000000013,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,41,Asset_041,Group_5,0.004,-1.4808473194496567e-17,-0.004000000000000015,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,42,Asset_042,Group_5,0.004,4.502614453491281e-17,-0.003999999999999955,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,43,Asset_043,Group_6,0.004,0.006691010568966972,0.0026910105689669723,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,44,Asset_044,Group_3,0.004,6.935388086406525e-17,-0.003999999999999931,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,45,Asset_045,Group_3,0.004,-6.537972220421e-17,-0.004000000000000065,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,46,Asset_046,Group_6,0.004,0.11191353554712097,0.10791353554712096,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,47,Asset_047,Group_7,0.004,-6.259701954852251e-16,-0.004000000000000626,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,48,Asset_048,Group_7,0.004,-5.016385473554578e-17,-0.00400000000000005,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,49,Asset_049,Group_7,0.004,3.3583131885943915e-17,-0.003999999999999966,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,50,Asset_050,Group_1,0.004,4.862371689185763e-18,-0.003999999999999995,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,51,Asset_051,Group_3,0.004,-4.7525317798491326e-17,-0.004000000000000048,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,52,Asset_052,Group_3,0.004,-2.4372020323910413e-17,-0.004000000000000024,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,53,Asset_053,Group_2,0.004,-1.0828491895572468e-16,-0.0040000000000001085,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,54,Asset_054,Group_3,0.004,6.44243266754161e-17,-0.003999999999999936,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,55,Asset_055,Group_2,0.004,-1.3591036004155518e-16,-0.004000000000000136,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,56,Asset_056,Group_4,0.004,0.08247508880393277,0.07847508880393277,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,57,Asset_057,Group_4,0.004,6.172456899531991e-17,-0.0039999999999999385,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,58,Asset_058,Group_4,0.004,-1.6596744488684972e-16,-0.004000000000000166,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,59,Asset_059,Group_0,0.004,1.1265343937412995e-16,-0.003999999999999887,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,60,Asset_060,Group_6,0.004,5.007970609806085e-17,-0.00399999999999995,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,61,Asset_061,Group_7,0.004,1.2453483625804166e-17,-0.003999999999999988,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,62,Asset_062,Group_5,0.004,-2.2012541997949837e-16,-0.00400000000000022,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,63,Asset_063,Group_1,0.004,-1.3536546762258065e-16,-0.004000000000000135,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,64,Asset_064,Group_4,0.004,-2.163963316771154e-17,-0.004000000000000022,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,65,Asset_065,Group_3,0.004,3.1509373188281776e-17,-0.003999999999999969,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,66,Asset_066,Group_0,0.004,-2.977761718449874e-17,-0.00400000000000003,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,67,Asset_067,Group_1,0.004,9.474557609444478e-17,-0.0039999999999999055,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,68,Asset_068,Group_4,0.004,-7.589936451374365e-17,-0.004000000000000076,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,69,Asset_069,Group_4,0.004,4.3017856719957794e-17,-0.003999999999999957,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,70,Asset_070,Group_6,0.004,-5.022686052894514e-18,-0.004000000000000005,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,71,Asset_071,Group_4,0.004,3.628889317359468e-18,-0.003999999999999997,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,72,Asset_072,Group_0,0.004,0.020000000000000892,0.016000000000000892,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,73,Asset_073,Group_2,0.004,3.858962144742781e-17,-0.003999999999999962,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,74,Asset_074,Group_1,0.004,4.126570452957811e-17,-0.0039999999999999584,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,75,Asset_075,Group_6,0.004,-2.1776778951247397e-16,-0.004000000000000218,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,76,Asset_076,Group_5,0.004,-1.3751902583435315e-16,-0.004000000000000138,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,77,Asset_077,Group_0,0.004,-1.8703231335048675e-16,-0.004000000000000187,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,78,Asset_078,Group_1,0.004,-5.260059719401554e-17,-0.004000000000000053,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,79,Asset_079,Group_6,0.004,-9.239731779833906e-18,-0.00400000000000001,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,80,Asset_080,Group_5,0.004,1.632851423916963e-16,-0.003999999999999837,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,81,Asset_081,Group_4,0.004,-3.0895503002355623e-16,-0.004000000000000309,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,82,Asset_082,Group_0,0.004,-5.54596993652888e-17,-0.004000000000000056,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,83,Asset_083,Group_2,0.004,-1.6668815702329236e-16,-0.004000000000000167,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,84,Asset_084,Group_0,0.004,-1.171219781647165e-16,-0.004000000000000117,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,85,Asset_085,Group_6,0.004,-1.1953622723785963e-16,-0.00400000000000012,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,86,Asset_086,Group_6,0.004,0.036159646141862595,0.03215964614186259,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,87,Asset_087,Group_5,0.004,-1.540655060370236e-16,-0.0040000000000001545,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,88,Asset_088,Group_7,0.004,0.004000000000001122,1.1214987272190058e-15,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,89,Asset_089,Group_2,0.004,2.352032327755754e-18,-0.0039999999999999975,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,90,Asset_090,Group_1,0.004,-7.816714379152365e-17,-0.004000000000000078,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,91,Asset_091,Group_3,0.004,-1.937685793183757e-16,-0.0040000000000001935,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,92,Asset_092,Group_2,0.004,1.3076045372188838e-17,-0.003999999999999987,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,93,Asset_093,Group_6,0.004,2.349230345955133e-16,-0.003999999999999765,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,94,Asset_094,Group_5,0.004,0.16672807969155276,0.16272807969155276,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,95,Asset_095,Group_7,0.004,-2.7159766084263858e-17,-0.004000000000000027,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,96,Asset_096,Group_5,0.004,-1.0063298508000445e-17,-0.0040000000000000105,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,97,Asset_097,Group_2,0.004,-8.781280120271341e-17,-0.004000000000000088,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,98,Asset_098,Group_3,0.004,-1.2742767072059087e-16,-0.004000000000000128,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,99,Asset_099,Group_7,0.004,-8.221502867729485e-17,-0.0040000000000000825,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,100,Asset_100,Group_7,0.004,-3.333914820588062e-16,-0.004000000000000333,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,101,Asset_101,Group_1,0.004,0.0734591120256686,0.0694591120256686,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,102,Asset_102,Group_3,0.004,0.0040000000000003436,3.434752482434078e-16,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,103,Asset_103,Group_6,0.004,4.872104370277339e-17,-0.0039999999999999515,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,104,Asset_104,Group_0,0.004,4.4776149541943885e-17,-0.003999999999999955,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,105,Asset_105,Group_2,0.004,-8.991718944115208e-17,-0.00400000000000009,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,106,Asset_106,Group_4,0.004,-2.0975876171464423e-17,-0.004000000000000021,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,107,Asset_107,Group_4,0.004,-6.342752978830634e-17,-0.004000000000000063,,0.0,0.2
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,108,Asset_108,Group_4,0.004,5.133835604698508e-17,-0.003999999999999949,,0.0,0.2
